isbn;language_code;average_rating;description;Authors;num_pages;publication_year;title;genre
785162712;eng;3,87;It's the incredible conclusion to Fabian Nicieza's definitive X-Force run! When the techno-organic Phalanx kidnap the X-Men and establish a foothold on Earth, X-Force must team with X-Factor and Excalibur to battle the aliens...but who or what is Douglock? And how will X-Force react to fighting alongside what appears to be their late friend Doug Ramsey? Then: Cable's sentient computer the Professor has been granted a physical body! So why is Cable getting sicker by the day? COLLECTING:X-Factor (1986) 106, X-Force (1991) 38-43, Excalibur (1988) 82;Fabian Nicieza, Scott Lobdell, Todd Dezago, Roger Cruz, Jan Duursema, Steve Epting, Terry Dodson, Tony S. Daniel;256;2013;X-Force: Phalanx Covenant;comics & graphic
785163158;eng;4,05;Superstar writer Jonathan Hickman bids farewell to the FF! In a story that kicks off in Spider-Man and Human Torch's bathroom (?!), the Future Foundation explores the farthest reaches of the Marvel Universe - from Wakanda to the Negative Zone - encountering the Wizard, the Universal Inhumans and the Negative Zone's dark overlord himself, Annihilus, along the way! And in the heartwarming conclusion to Hickman's run, Old Franklin teaches Young Franklin How To Be a God! COLLECTING: FF 17-23;Jonathan Hickman, Nick Dragotta, Gabriel Hernandez Walta, Andre Lima Araujo;168;2013;FF by Jonathan Hickman, Vol. 4;comics & graphic
078516328X;eng;3,62;Iron Man! Captain America! Thor! Hulk! Black Widow! Hawkeye! ASSEMBLE! The world's best-known Avengers are teaming up for a high-stakes mission with the fate of the Marvel Universe at stake! When the Avengers stumble upon a string of heists of some of the world's most dangerous weapons, masterminded by the criminal team the Zodiac, they soon discover that the villains are being empowered by a threat from beyond. Can even this all-star team of Avengers defeat Thanos - a cosmic foe with the power of a god? To win the day, they'll need help from the unlikely team of spacefaring heroes known as the Guardians of the Galaxy! COLLECTING: Avengers Assemble 1-8;Brian Michael Bendis, Mark Bagley;184;2013;Avengers Assemble;comics & graphic
1620104105;eng;3,2;A thief, an assassin, a mage and a cleric walk into a tavern in the ancient city of Umber. Awaiting them is a mysterious bard with a dangerous scheme: to break into the dungeon of a powerful death cult in search of treasure. For these five desperate criminals, it's the last chance for hope in a city of corruption and despair. But what they find instead is an undead army preparing to conquer the world. Now, they must fight to protect the city that pushed their backs to the wall, or watch it burn. The acclaimed fantasy epic from New York Times Best-Selling author Ted Naifeh (Courtney Crumrin, Princess Ugg) begins here!;Ted Naifeh;168;2017;Night's Dominion, Vol. 1 (Night's Dominion, #1-6);comics & graphic
1620104083;eng;2,96;A reclusive young boy with superhuman strength tries to live up to the expectations of his dead father in an fantastic world of mechs and monsters. What will it take to fulfill his destiny? From illustrator and intricate world-builder Ulises Farinas (IDW's Judge Dredd), comes the first chronicle of the life and legend of a fantasy hero for the ages.;Ulises Farinas, Erick Freitas;112;2017;Motro Volume One;comics & graphic
1595825010;eng;4,03;Mike Mignola has deservedly become one of the biggest names in comics for his creation of Hellboy. But when Mignola needs a short break from the Hellboy universe, he turns to diversions such as The Amazing Screw-On Head, winner of the Eisner Award for Best Humor Publication!When Emperor Zombie threatens the safety of all life on earth, President Lincoln enlists the aid of a mechanical head. With the help of associates Mr. Groin (a faithful manservant) and Mr. Dog (a dog), Screw-On Head must brave ancient tombs, a Victorian flying apparatus, and demons from a dimension inside a turnip. This new collection of oddball Mignola creations also includes The Magician and the Snakefrom Dark Horse Maverick: Happy Endings, and nearly fifty pages of brand new material, all as weird and hilarious as the beloved Screw-On Head.;Mike Mignola;104;2010;The Amazing Screw-on Head and Other Curious Objects;comics & graphic
1421579707;eng;4,41;Nanami Momozono is alone and homeless after her dad skips town to evade his gambling debts and the debt collectors kick her out of her apartment. So when a man she's just saved from a dog offers her his home, she jumps at the opportunity. But it turns out that his place is a shrine, and Nanami has unwittingly taken over his job as a local deity!;Tomo Kimura, Julietta Suzuki;200;2015;Kamisama Kiss, Vol. 18;comics & graphic
1421577836;eng;4,24;In this exciting volume: THE MYSTERY OF LAVENDER MANORSummoned to a remote island to test their skills, the top teen detectives in Japan are eager to find out which of them can out-sleuth the rest. But when one detective is murdered, the contest turns into a decidedly unfriendly competition. If only Jimmy Kudo had managed to show up...Then a man is found beaten senseless in a parking lot, and the criminal he fingers is... George? Time for the Junior Detective League to spring into action and clear their friend's name!;Gosho Aoyama;192;2015;Case Closed, Vol. 55;comics & graphic
1421578654;eng;4,55;Ichigo Kurosaki never asked for the ability to see ghosts--he was born with the gift. When his family is attacked by a Hollow--a malevolent lost soul--Ichigo becomes a Soul Reaper, dedicating his life to protecting the innocent and helping the tortured spirits themselves find peace. Find out why Tite Kubo's Bleach has become an international manga smash-hit!The Soul Reapers have finally joined Ichigo and his friends in the fight against the Espada in Hueco Mundo. But while the bloody battle holds all their attention, Aizen is free to make his next diabolical move!;Tite Kubo;624;2015;Bleach (3-in-1 Edition), Vol. 12: Includes vols. 34, 35  36;comics & graphic
1466347805;eng;4,02;Grant Morrison's THE INVISIBLES has been hailed as an ambitious comics masterpiece, the key to Morrison's entire body of work, and the inspiration for THE MATRIX. But it's also frequently written off as incomprehensible. Using a conversational, accessible style, Patrick Meaney (director of GRANT MORRISON: TALKING WITH GODS) opens up THE INVISIBLES through in-depth analysis that makes sense of the series's complicated ideas, fractured chronology, and delirious blend of fiction and reality. Meaney also explores how the series's fictional conspiracy theories fare in the wake of 9/11 and the War on Terror. The book includes an extensive interview with Grant Morrison and an introduction by Timothy Callahan (author of GRANT MORRISON: THE EARLY YEARS). From Sequart Research & Literacy Organization. More info at http: //Sequart.org;Timothy Callahan, Patrick Meaney, Grant Morrison, Kevin Colden;356;2011;Our Sentence is Up: Seeing Grant Morrison's The Invisibles;comics & graphic
142153598X;eng;4,21;El VerdugoThe battle between the Soul Reapers and Aizen over the fate of Karakura Town continues with more warriors joining the fight. But when Captain General Yamamoto enters the battlefield, can he put a quick end to Aizen's minions?;Tite Kubo;200;2012;Bleach, Volume 39;comics & graphic
761356347;eng;3,6;A DEALY VIRUS KILLED EVERY ADULT ON EARTH, LEAVING ONLY US KIDS BEHIND.My parents are gone, so I'm responsible for my little brother Todd. I have to make sure we stay alive. Many kids are sick or starving, and fierce gangs are stealing and destroying everything they find. Lots of people have given up, but here on Grand Avenue, some of us are surviving. Because of me.I figured out how to give the kids on Grand Avenue food, homes and protection against the gangs. But Tom Logan and his army are determined to take away what we've built and rule the streets themselves. How long can we keep fighting them off? We need to find another place for us to live safely.A strong place. A secret place.In a world like this, someone have to take charge.BUT DO I HAVE THE STRENGTH TO TAKE CHARGE OF A WHOLE CITY?;O.T. Nelson, Dan Jolley, Joelle Jones, Jenn Manley Lee;126;2012;The Girl Who Owned a City;comics & graphic
078516040X;eng;3,33;Because you - yes, you! - demanded it: Marvel's all-star cosmic team - and cult faves Rocket Raccoon and Groot - in one massive story! The Silver Surfer! Beta-Ray Bill! Gladiator! Quasar! Ronan! When the Dire Wraiths strike, Cosmic Masters DnA (THE THANOS IMPERATIVE, THOR/IRON MAN) and Tan Eng Huat (SILVER SURFER, THOR: FIRST THUNDER) assemble the heaviest hitters in all the universe to save the day! And not to be outdone, the demented duo of Rocket Raccoon and Groot return for their own, reader-friendly adventure! What do you do after you've saved the galaxy? DnA and the fabulous Timothy Green II (ANNIHILATION: CONQUEST - STAR-LORD) answer that question with madcap sci-fi combat and swashbuckling, space-faring mayhem! Collecting ANNIHILATORS #1-4.;Dan Abnett, Tan Eng Huat, Andy Lanning, Timothy Green II;184;2011;Annihilators;comics & graphic
1421596938;eng;3,89;A best-of story selection by the master of horror manga.This volume includes nine of Junji Ito's best short stories, as selected by the author himself and presented with accompanying notes and commentary. An arm peppered with tiny holes dangles from a sick girl's window... After an idol hangs herself, balloons bearing faces appear in the sky, some even featuring your own face... An amateur film crew hires an extremely individualistic fashion model and faces a real bloody ending... An offering of nine fresh nightmares for the delight of horror fans.;Junji Ito;392;2017;Shiver: Junji Ito Selected Stories;comics & graphic
1684150272;eng;4,14;Nothing's happened in Wilder's hometown since they filmed that cult kids' adventure movie there in the 80s...Until one day, she and her friends come upon a centuries-old pirate map!Smothered by her backwater hometown and frustrated by its 1980s cult-movie fame (The Gloomies...have you seen it? It's a real classic, y'know.), Wilder is pretty sure she's seen everything Cannon Cove has to offer. She's desperate to get away from home as soon as she can, and move on to bigger, better, and less annoying things...even if that might mean leaving her best friends behind.But when Wilder discovers a centuries-old pirate map, she may find out that REAL adventure was in their tiny town all along...and they need each other to get to the bottom of it! It's a rip-roaring adventure written by award-winning screenwriter Kiwi Smith (10 Things I Hate About You, Legally Blonde) and Kurt Lustgarten, and illustrated by Naomi Franquiz.;Kirsten Smith, Kurt Lustgarten, Naomi Franquiz;112;2017;Misfit City Vol. 1;comics & graphic
1569702543;eng;3,24;Co-workers Kai and Toga have an ongoing feud that makes them look like sworn enemies! But their snarling sarcasm barely conceals the fact that they're wild for one another. Can a lonely, lovelorn rabbit and a ravenous wolf learn to play nice... or will they devour one another in a flurry of fur?;Shinano Oumi;200;2012;Gentleman's Agreement Between a Rabbit and a Wolf;comics & graphic
1613770847;eng;3,86;This second volume of the acclaimed Dungeons & Dragons comic reveals how our favorite band of adventurers first came together But in present day, Fell's Five has found itself stranded in the mystical realm known as the Feywild, with few options for returning home. Join the party as John Rogers and Andrea Di Vito bring us a new chapter in their thrilling adventures of swords and sorcery;John Rogers, Andrea Di Vito, Denis Medri, Horacio Domingues, Juanan, Guido Guidi, Vincente Alcazar, Nacho Arranz;152;2012;Dungeons & Dragons, Volume 2: First Encounters;comics & graphic
1606904469;eng;3,28;The original Battlestar Galactica returns in an all-new, star-spanning adventure, celebrating the 35th anniversary of its original sci-fi TV airing! Overwhelmed by a surprise Cylon assault, the crew of the Battlestar Galactica turns to forbidden temporal weapons as their desperate last resort. However, the experimental technology backfires, throwing two Viper pilots, Apollo and Starbuck, into an alternate reality where their beloved capital ship never existed. In a universe without the Galactica... the Cylons rule supreme! Can Apollo and Starbuck survive the brutality of the Cylon overlords and return home?;Dan Abnett, Andy Lanning, Alex Ross, Cezar Razek;128;2013;Battlestar Galactica, Volume 1: Memorial;comics & graphic
1606903462;eng;3,56;It's been two months since Lone Ranger and Tonto hit the trails of the old west, looking for injustice. They've found plenty. Now, they come across settlers who have been victimized in a way that stirs memories in John Reid. It's loss, vengeance, and redemption as pioneer idealism meets the reality of hard life on the prairie! Continuing and expanding on Dynamite's past Lone Rangerseries, with new writer Ande Parks at the helm, this epic six-part story (The Lone Ranger Volume 2 #1-6) will test the mettle of the west's most legendary heroes.;Ande Parks, Esteve Polls;136;2012;The Lone Ranger, Vol. 5: Hard Country;comics & graphic
1613777116;eng;4,1;The comic book tales of Star Trek have roamed the universe and spanned publishers, but now Star Trek: The Stardate Collection collects the many iterations of Trek in order... by stardate! Helmed by Trek experts Scott and David Tipton, and featuring special commentary and creator interviews, volume 1 starts at the beginning to reveal the motives, machinations and decisions that shaped the intrepid crew of the U.S.S. Enterprise. For new and old fans alike, there's never been a Star Trek collection like this! Includes Star Trek: Crew issues #1-5, Star Trek Alien Spotlight: Vulcans, and Star Trek: Early Voyages #1-6;John Byrne, James Patrick, Scott Tipton, Dan Abnett, Ian Edginton, Beroy;316;2013;Star Trek: The Stardate Collection Volume 1;comics & graphic
1613777353;eng;2,7;In this all-new graphic novel, a spaceship crashes into a separatist camp and manages to reanimate the dead as well! It's aliens vs. zombies vs. militiamen in a carnage-filled tale!;Chris Ryall, Drew Moss;104;2013;The Colonized;comics & graphic
1595829423;eng;4,39;What Guts the Black Swordsman and his companions had seen as an island refuge for monstrous sea creatures and the ghost ship of the demonic Bonebeard is, in fact, the very lair of the malefic sea god that controls them. With no avenue of escape, Guts must once again don the Berserker armor to give his company any chance of survival. But without the protective influence of the sorceress Schierke, Guts risks being forever lost within the cursed armor and becoming an even greater threat to his comrades;Kentaro Miura, Duane Johnson;211;2012;Berserk, Vol. 36;comics & graphic
1595829407;eng;3,97;Showcasing stories from Marvel's Savage Sword of Conan the Barbarian #121-#130, never before collected and out of print for over a quarter century!I side with myself. The fierce reputation of the barbarian warrior Conan grows throughout the lands of Hyboria, with kings and conquerors alike willing to pay a fortune for the fearsome Cimmerian's broadsword. But when warring factions are both willing to secure Conan's services, they discover that they can buy a mercenary's blade but never his allegiance.;Christopher J. Priest, Larry Yakata, Don Kraar;528;2012;The Savage Sword of Conan, Vol. 12;comics & graphic
140123268X;eng;3,57;The sequel to the hit VICTORIAN UNDEAD! A year after the defeat of Professor Moriarty's horde and the fire-bombing of London, restoration is well under way. Yet, from across the sea, ancient eyes cast their hungry gaze upon the still vulnerable capital...Dracula is coming.;Ian Edginton, Davide Fabbri;160;2011;Victorian Undead II: Sherlock Holmes vs. Dracula;comics & graphic
1401226353;eng;3,21;With Superman now living on another planet in the wake of NEW KRYPTON, it's up to his old friend Mon-El to protect Metropolis.Following the startling events of NEW KRYPTON, Earth finds itself without Superman. Luckily, Metropolis still has heroes like Mon-El and the Guardian. But after years of knowing nothing but the solitude of the Phantom Zone, how will Mon-El acclimate himself to society? And the recently returned Guardian has his hands full with his new position in the Science Police. How can they fill Superman's boots?;Geoff Johns, James Robinson, Renato Guedes, Jose Wilson Magalhaes, Richard Donner, Javier Pina, Pablo Raimondi, Jesus Merino, Eric Wight;224;2011;Superman: Mon-El, Vol. 1;comics & graphic
1936340534;eng;3,6;Have you seen this cat? Because he is awesome! Mad science gives an ordinary cat named Scratch the ability to summon any of his nine lives. He must use his powers to save his pet friends from the CRUEL corporation.The critically acclaimed all-ages story collected for the first time!;Rob M. Worley, Jason T. Kruse;100;2011;Scratch9 Volume 1: Pet Project;comics & graphic
763647853;eng;4,33;The quest to save Vermonia continues! Fabulous manga artwork highlights this tale of four friends who hold the fate of three worlds in their hands.In part three of the Vermonia series, General Uro's reign of terror spreads through the Turtle Realm. When the three skateboarders from the planet Blue Star-- Doug, Naomi, and Jim-- are brought to a village burning under the evil Uro's ,nd, Naomi merges with her warrior spirit, the red phoenix, to help put out the flames. Now that the friends have the power of their guardian animals, they draw closer to finding and freeing Mel, who is trapped in a bubble guarded by one of General Uro's brainwashed soldiers.;YoYo;208;2010;Vermonia #3: Release of the Red Phoenix;comics & graphic
785148264;eng;4,09;Drifting in space, the Bea Arthur has been damaged almost beyond repair by a sudden attack. There is only enough life support for two people, so Deadpool must choose which of his teammates to release from cryo-sleep in order to save the rest. Please, please, pleasedon't let it be Dogpool!Collecting: Deadpool Corps7-12;Victor Gischler, Rob Liefeld, Brian Ching;144;2011;Deadpool Corps, Volume 2: You Say You Want A Revolution;comics & graphic
545875749;eng;4,3;Victor Starspeeder is back at Jedi Academy for year two, but it's not going the way he'd planned. He was thrilled about Drama Club and hoped to get the lead in this year's musical... But a new kid got the role! What gives?! Plus, he keeps oversleeping and getting to class late . . . Worst of all, his big sister Christina is getting ready to graduate from Jedi Academy, and there are rumors going around that she's a Sith! What's a Padawan to do? In times when he feels more alone than ever, Victor will have to trust the ways of the Force and his friends if he's going to survive year two in this all-new chapter in the Jedi Academy series.;Jarrett J. Krosoczka;176;2017;The Force Oversleeps (Star Wars: Jedi Academy #5);comics & graphic
316351962;eng;3,83;In the curious town of Utsuwa, where spirits known as ayakashi roam, lives Yue, a sheltered boy born and raised at the local shrine. On the night of the winter festival, Yue descends the mountain for the first time and encounters two boys. Though Yue wants nothing more than to become friends with his new acquaintances, Mikoto, the master of the shrine who rules over Utsuwa, declares that Yue must choose one of the boys as his Meal! Faced with this incomprehensible decision, what will Yue do?!;HaccaWorks*, Nanao;160;2015;Of the Red, the Light, and the Ayakashi, Vol. 1;comics & graphic
1595827366;eng;3,98;The Wild West collides with Victorian horror in the latest assault on decency from the Eisner Award-winning creator of The Goon The world believes the notorious outlaw Billy the Kid was killed by Pat Garrett, but in reality the Kid is very much alive, the hired gun of a traveling spectacle of biological curiosities - or freaks, as Billy calls them. In their past adventures, Billy and crew have faced a variety of supernatural terrors, but none of that has prepared them to confront their most vicious challenge yet: Jack the Ripper Combining classic horror and sick humor, Eric Powell and artist Kyle Hotz invent all-new kinds of wrong This volume also includes Billy the Kid and the Pit of Horrors from the Buzzard mini-series;Kyle Hotz, Eric Powell, Dan   Brown;112;2011;Billy the Kid's Old Timey Oddities and The Ghastly Fiend of London;comics & graphic
1401268773;eng;4,08;Based on the hit DC Collectibles product line! As World War II rages across Europe, the Allied forces issue a call to arms for the greatest heroines the world has ever known! With an old villain arising from beyond the grave, Wonder Woman, Batwoman, Kara Starikov, Kortni Duginova and Mera must aid the Allied forces while at home, a brave group of Batgirls must defend the homeland!The incredibly popular DC Collectibles line is brought to life in these stories that reimagine the course of history! From writer Marguerite Bennett (BATGIRL, EARTH 2: WORLD'S END) and featuring artists including Marguerite Sauvage (HINTERKIND), Laura Braga (Witchblade) and Mirka Andolfo (Chaos) comes DC COMICS: BOMBSHELLS VOL. 3 collects #13-21.;Marguerite Bennett;200;2017;DC Comics Bombshells, Vol. 3: Uprising;comics & graphic
785131736;eng;3,94;It's the exciting sequel to 2007's Messiah CompleXCyclops has complete faith that his son, Cable, will do everything he can to protect the so-called mutant messiah - who he believes will save mutantkind.But he also knows what havoc former X-Man Lucas Bishop has wreaked in the nightmarish future. So now he's sent his black ops team, the X-Force, on a risky, time-traveling mission to save Cable and the child, completely unaware that there's something else waiting for them in the future. Something not even Bishop was counting on...Collecting: X-Men: The Times and Life of Lucas Bishop1-3, Cable11-15, X-Force14-16, X-Force/Cable: Messiah WarOne-Shot, & X-Men: Future History: The Messiah War Sourcebook;Duane Swierczynski, Christopher Yost, Cory Petit, Ariel Olivetti, Craig Kyle, Larry Stroman, Mike Choi, Sonia Oback, Joe Caramagna, Clayton Crain;368;2010;X-Force/Cable: Messiah War;comics & graphic
1632154056;eng;3,7;The popular star of a children's show during Golden Age of Television dies, sending waves of scandal and shock through the community of men and women inventing an entire medium on the fly in this blistering finale to this twisted tale of sex, death, and live TV.Collects Satellite Sam #11-15.;Matt Fraction, Howard Chaykin;144;2015;Satellite Sam, Volume 3;comics & graphic
1616558563;eng;3,97;Twin brothers Omar and Yaqub may share the same features, but they could not be more different from one another. And the possessive love of their mother, Zana, stirs the troubled waters between them even more. After a brutally violent exchange between the young boys, Yaqub, the good son, is sent from his home in Brazil to live with relatives in Lebanon, only to return five years later as a virtual stranger to the parents who bore him, his tensions with Omar unchanged. Family secrets engage the reader in this profoundly resonant story about identity, love, loss, deception, and the dissolution of blood ties.Set in the port city of Manaus on the riverbanks of the Amazon, Two Brotherscelebrates the vibrant life and diversity of Brazil. Based on a work by acclaimed novelist Milton Hatoum, Two Brothersis stunningly reimagined by the award-winning graphic novelists Fabio Moon and Gabriel Ba.;Fabio Moon, Gabriel Ba;232;2015;Two Brothers;comics & graphic
1626923191;eng;3,64;Get Ready to Hop Into Battle!Kokuryuu Kaguya was only a little boy when he witnessed his father murdered by demons. Despite no one believing him, he'll never forget that moment...Years later, Kaguya is struck by a mysterious light, and finds himself at the receiving end of a monstrous attack. A skilled warrior adorned with bunny ears rescues him, and sends Kaguya down the path of becoming the Earth's newest defender--as a Battle Rabbit!;Yuki Amemiya, Ichihara Yukino;180;2016;Battle Rabbits, Vol. 1;comics & graphic
956962319;eng;3,83;From the man who brought you the layout of John Berger's Ways of Seeing comes a comprehensive selection of writings covering over 40 years of reflection on graphic design history, from interviews, essays, letters and articles to lectures and course outlines. Designed by Richard Hollis himself and densely illustrated with over 500 thumbnail images, About Graphic Design charts the insatiable curiosity and methodological rigour of the renowned graphic designer, graphic design theorist and historian. This book is testimony to the importance of the role of the graphic designer - who ensures the legibility of our urban spaces - and to the value of historical precedent for contemporary graphic design.;Richard Hollis;296;2012;About Graphic Design;comics & graphic
571288650;eng;3,92;A fantastically dark and timeless graphic debut, for fans of Grimm Tales, The Melancholy Death of Oyster Boyand the works of Neil Gaiman 'It came from the woods. Most strange things do.'Five mysterious, spine-tingling stories follow journeys into (and out of?) the eerie abyss.These chilling tales spring from the macabre imagination of acclaimed and award-winning comic creator Emily Carroll.Come take a walk in the woods and see what awaits you there...;Emily Carroll;208;2015;Through the Woods;comics & graphic
1603090657;eng;3,55;What would you do if you had a time machine? Bet on sporting events? Assassinate all the evildoers of history? Or maybe try to fix all the mistakes and regrets that have haunted you all these years? Join Jess as she travels back in time to share her wisdom with her naive younger self, stand up to bullies who terrorized her child self, and teach her horny teenage self a thing or two! What begins as a raunchy adventure in teen wish fulfillment grows into a thoughtful story about memory, regret, and growing up. One time machine, one frustrated girl, one sexy futuristic jumpsuit... infinite possibilities!;Jess Fink;112;2013;We Can Fix It: A Time Travel Memoir;comics & graphic
1612620000;eng;4,44;A new group calling themselves Black Moon is after Usagi and the rest of the Sailor Guardians, wielding a new power known only as the Malefic Black Crystal. Chibi-Usa may be the key to it all, but to find the answers and rescue her kidnapped friends, Usagi will have to journey through time to the 30th century and discover what fate has in store.This new edition of Sailor Moon features:- An entirely new, incredibly accurate translation- Japanese-style, right-to-left reading- New cover art never before seen in the U.S.- The original Japanese character names- Detailed translation notes;Naoko Takeuchi, William Flanagan;244;2012;Pretty Guardian Sailor Moon, Vol. 4 (Pretty Soldier Sailor Moon Renewal Edition, #4);comics & graphic
